config_id,config_key,experiment_key,r2l_synth_count,target_r2l,cb_beta,focal_gamma,seed,run_name
c001,7195d4f8ab,2004f9ddf9f2,5000,5995,0.9,0.0,0,cnn2d_grid_c001_7195d4f8ab_r5000_b0p9_g0_s0
c001,7195d4f8ab,2004f9ddf9f2,5000,5995,0.9,0.0,1,cnn2d_grid_c001_7195d4f8ab_r5000_b0p9_g0_s1
c001,7195d4f8ab,2004f9ddf9f2,5000,5995,0.9,0.0,2,cnn2d_grid_c001_7195d4f8ab_r5000_b0p9_g0_s2
c002,b200aa8c0a,2004f9ddf9f2,5000,5995,0.9,0.25,0,cnn2d_grid_c002_b200aa8c0a_r5000_b0p9_g0p25_s0
c002,b200aa8c0a,2004f9ddf9f2,5000,5995,0.9,0.25,1,cnn2d_grid_c002_b200aa8c0a_r5000_b0p9_g0p25_s1
c002,b200aa8c0a,2004f9ddf9f2,5000,5995,0.9,0.25,2,cnn2d_grid_c002_b200aa8c0a_r5000_b0p9_g0p25_s2
c003,c88983a5ec,2004f9ddf9f2,5000,5995,0.9,0.5,0,cnn2d_grid_c003_c88983a5ec_r5000_b0p9_g0p5_s0
c003,c88983a5ec,2004f9ddf9f2,5000,5995,0.9,0.5,1,cnn2d_grid_c003_c88983a5ec_r5000_b0p9_g0p5_s1
c003,c88983a5ec,2004f9ddf9f2,5000,5995,0.9,0.5,2,cnn2d_grid_c003_c88983a5ec_r5000_b0p9_g0p5_s2
c004,70de079fe4,2004f9ddf9f2,5000,5995,0.9,0.75,0,cnn2d_grid_c004_70de079fe4_r5000_b0p9_g0p75_s0
c004,70de079fe4,2004f9ddf9f2,5000,5995,0.9,0.75,1,cnn2d_grid_c004_70de079fe4_r5000_b0p9_g0p75_s1
c004,70de079fe4,2004f9ddf9f2,5000,5995,0.9,0.75,2,cnn2d_grid_c004_70de079fe4_r5000_b0p9_g0p75_s2
c005,e632a14248,2004f9ddf9f2,5000,5995,0.9,1.0,0,cnn2d_grid_c005_e632a14248_r5000_b0p9_g1_s0
c005,e632a14248,2004f9ddf9f2,5000,5995,0.9,1.0,1,cnn2d_grid_c005_e632a14248_r5000_b0p9_g1_s1
c005,e632a14248,2004f9ddf9f2,5000,5995,0.9,1.0,2,cnn2d_grid_c005_e632a14248_r5000_b0p9_g1_s2
c006,b297d16b1b,2004f9ddf9f2,5000,5995,0.9,1.25,0,cnn2d_grid_c006_b297d16b1b_r5000_b0p9_g1p25_s0
c006,b297d16b1b,2004f9ddf9f2,5000,5995,0.9,1.25,1,cnn2d_grid_c006_b297d16b1b_r5000_b0p9_g1p25_s1
c006,b297d16b1b,2004f9ddf9f2,5000,5995,0.9,1.25,2,cnn2d_grid_c006_b297d16b1b_r5000_b0p9_g1p25_s2
c007,5b83a9dec3,2004f9ddf9f2,5000,5995,0.9,1.5,0,cnn2d_grid_c007_5b83a9dec3_r5000_b0p9_g1p5_s0
c007,5b83a9dec3,2004f9ddf9f2,5000,5995,0.9,1.5,1,cnn2d_grid_c007_5b83a9dec3_r5000_b0p9_g1p5_s1
c007,5b83a9dec3,2004f9ddf9f2,5000,5995,0.9,1.5,2,cnn2d_grid_c007_5b83a9dec3_r5000_b0p9_g1p5_s2
c008,fc02005778,2004f9ddf9f2,5000,5995,0.9,1.75,0,cnn2d_grid_c008_fc02005778_r5000_b0p9_g1p75_s0
c008,fc02005778,2004f9ddf9f2,5000,5995,0.9,1.75,1,cnn2d_grid_c008_fc02005778_r5000_b0p9_g1p75_s1
c008,fc02005778,2004f9ddf9f2,5000,5995,0.9,1.75,2,cnn2d_grid_c008_fc02005778_r5000_b0p9_g1p75_s2
c009,a9fab10569,2004f9ddf9f2,5000,5995,0.9,2.0,0,cnn2d_grid_c009_a9fab10569_r5000_b0p9_g2_s0
c009,a9fab10569,2004f9ddf9f2,5000,5995,0.9,2.0,1,cnn2d_grid_c009_a9fab10569_r5000_b0p9_g2_s1
c009,a9fab10569,2004f9ddf9f2,5000,5995,0.9,2.0,2,cnn2d_grid_c009_a9fab10569_r5000_b0p9_g2_s2
c010,1620ff40ca,2004f9ddf9f2,5000,5995,0.9,2.25,0,cnn2d_grid_c010_1620ff40ca_r5000_b0p9_g2p25_s0
c010,1620ff40ca,2004f9ddf9f2,5000,5995,0.9,2.25,1,cnn2d_grid_c010_1620ff40ca_r5000_b0p9_g2p25_s1
c010,1620ff40ca,2004f9ddf9f2,5000,5995,0.9,2.25,2,cnn2d_grid_c010_1620ff40ca_r5000_b0p9_g2p25_s2
c011,63b5ee50fb,2004f9ddf9f2,5000,5995,0.9,2.5,0,cnn2d_grid_c011_63b5ee50fb_r5000_b0p9_g2p5_s0
c011,63b5ee50fb,2004f9ddf9f2,5000,5995,0.9,2.5,1,cnn2d_grid_c011_63b5ee50fb_r5000_b0p9_g2p5_s1
c011,63b5ee50fb,2004f9ddf9f2,5000,5995,0.9,2.5,2,cnn2d_grid_c011_63b5ee50fb_r5000_b0p9_g2p5_s2
c012,db6a9b7e4d,2004f9ddf9f2,5000,5995,0.9,3.0,0,cnn2d_grid_c012_db6a9b7e4d_r5000_b0p9_g3_s0
c012,db6a9b7e4d,2004f9ddf9f2,5000,5995,0.9,3.0,1,cnn2d_grid_c012_db6a9b7e4d_r5000_b0p9_g3_s1
c012,db6a9b7e4d,2004f9ddf9f2,5000,5995,0.9,3.0,2,cnn2d_grid_c012_db6a9b7e4d_r5000_b0p9_g3_s2
c013,0f9e194526,2004f9ddf9f2,5000,5995,0.95,0.0,0,cnn2d_grid_c013_0f9e194526_r5000_b0p95_g0_s0
c013,0f9e194526,2004f9ddf9f2,5000,5995,0.95,0.0,1,cnn2d_grid_c013_0f9e194526_r5000_b0p95_g0_s1
c013,0f9e194526,2004f9ddf9f2,5000,5995,0.95,0.0,2,cnn2d_grid_c013_0f9e194526_r5000_b0p95_g0_s2
c014,ddc97a51d2,2004f9ddf9f2,5000,5995,0.95,0.25,0,cnn2d_grid_c014_ddc97a51d2_r5000_b0p95_g0p25_s0
c014,ddc97a51d2,2004f9ddf9f2,5000,5995,0.95,0.25,1,cnn2d_grid_c014_ddc97a51d2_r5000_b0p95_g0p25_s1
c014,ddc97a51d2,2004f9ddf9f2,5000,5995,0.95,0.25,2,cnn2d_grid_c014_ddc97a51d2_r5000_b0p95_g0p25_s2
c015,ad35ffd5b6,2004f9ddf9f2,5000,5995,0.95,0.5,0,cnn2d_grid_c015_ad35ffd5b6_r5000_b0p95_g0p5_s0
c015,ad35ffd5b6,2004f9ddf9f2,5000,5995,0.95,0.5,1,cnn2d_grid_c015_ad35ffd5b6_r5000_b0p95_g0p5_s1
c015,ad35ffd5b6,2004f9ddf9f2,5000,5995,0.95,0.5,2,cnn2d_grid_c015_ad35ffd5b6_r5000_b0p95_g0p5_s2
c016,94713d68a2,2004f9ddf9f2,5000,5995,0.95,0.75,0,cnn2d_grid_c016_94713d68a2_r5000_b0p95_g0p75_s0
c016,94713d68a2,2004f9ddf9f2,5000,5995,0.95,0.75,1,cnn2d_grid_c016_94713d68a2_r5000_b0p95_g0p75_s1
c016,94713d68a2,2004f9ddf9f2,5000,5995,0.95,0.75,2,cnn2d_grid_c016_94713d68a2_r5000_b0p95_g0p75_s2
c017,ea6f5b1a3c,2004f9ddf9f2,5000,5995,0.95,1.0,0,cnn2d_grid_c017_ea6f5b1a3c_r5000_b0p95_g1_s0
